Date,Close,High,Low,Open,Volume
11/29/2000,21.78025055,22.58342721,21.44953152,22.58342721,5100456
11/30/2000,21.87474251,22.06372439,21.07156586,21.78025011,5963507
12/1/2000,22.67791557,23.24486408,22.01647759,22.01647759,5580030
12/4/2000,22.25270844,22.58342747,22.06372509,22.58342747,4151951
12/5/2000,23.19762039,23.52834088,21.96923377,22.25270805,5057577
12/6/2000,23.92831421,24.35645548,23.69045844,23.69045844,5313431
12/7/2000,23.30988693,23.92831217,22.8817457,23.92831217,4134110
12/8/2000,23.54774284,23.83317033,23.16717335,23.30988709,2896300
12/11/2000,23.1196022,23.64288546,23.0244602,23.54774345,3238317
12/12/2000,23.07203102,23.26231651,22.64389124,23.11960276,5851698
12/13/2000,22.64388847,23.35745567,22.54874647,23.0720282,5113837
12/14/2000,22.07304001,22.73903714,21.78761393,22.64389511,7113026
12/15/2000,22.35846329,22.64389079,21.50218227,22.07303579,9256665
12/18/2000,22.31088638,22.78659926,21.93031696,22.35845811,5140598
12/19/2000,22.16818237,22.54875193,22.12061063,22.31089467,5936239
12/20/2000,20.59833145,21.12161476,20.40804594,21.12161476,9131779
12/21/2000,21.07404518,21.07404518,20.17019224,20.59833357,6423720
12/22/2000,20.12261963,20.88376023,19.78962181,20.88376023,7755398
12/26/2000,20.50318909,20.64590285,20.36047386,20.36047386,4882818
12/27/2000,21.54975128,21.74003676,20.5031863,20.5031863,8588343
12/28/2000,21.88274956,21.97789156,21.02646862,21.54975035,4713735
12/29/2000,22.02546501,22.16817876,21.64489551,21.88275127,4627876
1/2/2001,21.26432228,21.64489171,21.02646657,21.64489171,6545261
1/3/2001,23.64289093,23.88074821,21.31190162,21.31190162,10278966
1/4/2001,24.30888939,25.4505997,23.50017841,23.6428922,10500253
1/5/2001,23.9758873,24.83216841,23.83317353,24.3088851,6497415
1/8/2001,22.92931938,24.02345621,22.50117811,23.97588594,5067005
1/9/2001,22.92931938,23.59531495,22.73903388,22.92931938,4768779
1/10/2001,23.1196022,23.26231595,22.7390327,22.92931819,3361987
1/11/2001,22.45360947,23.88074722,22.31089569,23.11960659,5959655
